"factor","na_rate"
"up1.C_solid_mass",0.083
"up1.D_particle",0.083
"up1.D_template",0.083
"up1.C_surfactant",0.083
"up1.HLB",0.083
"up1.MW_surfactant",0.083
"up1.ionic_strength",0.083
"up1.Delta_pH",0.083
"up2.K_break",0.083
"up2.frac_gas_coarse_ref",0.083
"up3.delta_rpm",0.083
"up3.chi_parameter",0.083
"up3.S_base",0.083
"up3.S_ceiling",0.083
"up4.mdot_L",0.083
"up4.T_system",0.083
"up4.mdot_gas_dry",0.083
"up4.k_perm_plast",0.083
"up4.k_perm_bind",0.083
"up1.v_tip",0
"up1.tau_mix",0
"up1.P_mix",0
"up1.T_mix",0
"up1.C_gas_diss_temp",0
"up1.Q_gas",0
"up1.Q_colloid",0
"up1.Q_template",0
"up1.C_temp_mass",0
"up1.C_binder",0
"up1.C_monomer",0
"up1.C_plasticizer",0
"up1.CMC",0
"up1.A_molecule",0
"up1.D_surf",0
"up1.template_dose",0
"up2.K_coal",0
"up2.K_burst",0
"up2.d_b_burst",0
"up3.rpm",0
"up3.r_pool",0
"up3.flow_rate_lpm",0
"up3.pop_frac",0
"up3.gas_sat_frac",0
"up3.t_recover_sec",0
"up3.contact_angle_deg",0
"up4.ALR",0
"up4.P_system",0
"up4.P_feed",0
"up4.Y_in",0
"up4.t_hold",0
"up4.Tg_polymer",0
"up4.n_flow",0
"up4.k_perm_mono",0
"up4.T_bp_solv",0
