"field","value"
"C_solid",0.375384865227788
"C_solid_rigid",0
"C_binder",0.08
"C_monomer",0.005
"C_plasticizer",0.005
"C_surfactant",0.003
"CMC",0.008
"HLB",12
"MW_surfactant",1414
"A_molecule",6.35
"Delta_pH",3.5
"ionic_strength",0.03
"rho_slurry",1183.48145532108
"rho_polymer",1700
"T_K",325
"P_Pa",101300
"mu_exit_PaS",13.5356725521148
"D_particle_um",1.25
"D_primary_exit_um",0.82
"D_primary_phys_um",0.82
"v_tip_crit",68.1988868373274
"v_tip_ratio",0.124635465389196
"D_agg_um",50
"sphericity",0.996143804020055
"WetSkin",0.0445499546106262
"alpha_g",0.0184333142106516
"D_b_m",NA
"template_type",4
"phi_templ_free",0.0527185750133727
"D_template_um",0.85
"RTF",0.0198250165431392
"w_core",0.000737971666483011
"chi_template",1.4
"C_gas_diss",0.110633446392831
"Softness_exit",1.28402541668774
"Bond_Strength",0.100799475247854
"Retained_Porosity",0.359927930762746
"Mixing_Potential",141.443632936396
