"Delta_pH","ionic_strength","theta_skin","phi_porosity","D_agg_um","alpha_g","rho_tapped"
0.5,0.01,0.948987573960749,0.222909331430166,10.1998462988105,0.076,624.790968061007
0.5,0.05,0.949027806394938,0.22344472990181,10.1999994389142,0.076,624.33304887621
0.5,0.1,0.911957359049695,0.161645525518995,3.2202979353137,0.076,676.660807052346
0.5,0.25,0.878581016213416,0.130115560780283,0.375501989432749,0.076,703.361810629592
0.5,0.5,0.878933332012362,0.130335253824304,0.375000006849316,0.076,703.175104509449
1,0.01,0.948952826155826,0.213875140935228,4.20077839823841,0.0663428063508086,632.384827895403
1,0.05,0.948995691133944,0.223017210035873,10.1999951660163,0.076,624.69870862004
1,0.1,0.949025606651246,0.223415396632496,10.1999996042971,0.076,624.358139135131
1,0.25,0.880416681097748,0.133145877760431,0.534257176677408,0.076,700.866737059191
1,0.5,0.87847177660982,0.130125710704808,0.375000022360756,0.076,703.35035113327
1.5,0.01,0.948920679104248,0.195005144521077,1.24999999666462,0.0479572710286994,648.154888360614
1.5,0.05,0.948960946700729,0.21962743616484,9.21296879182382,0.0709836186176134,627.625579092179
1.5,0.1,0.948993167674739,0.222983674550958,10.1999852199548,0.076,624.727389686071
1.5,0.25,0.921554812214312,0.17446211088649,4.49285761430965,0.076,665.756292450214
1.5,0.5,0.878020221577359,0.129901060492632,0.375295389801526,0.076,703.538996039459
2.5,0.01,0.948874451470958,0.179371598264986,1.24999999732631,0.02159263156754,661.755786244947
2.5,0.05,0.948899870679826,0.187919769920056,1.24999999701875,0.0360690099437451,654.309804892639
2.5,0.1,0.94892556569482,0.196653563086914,1.24999999656172,0.0507517269232424,646.722694893157
2.5,0.25,0.948987573960973,0.222909331433655,10.1998462988276,0.076,624.790968058024
2.5,0.5,0.917283005261994,0.168381041207445,3.90419204869726,0.076,670.924290281318
3.5,0.01,0.948851582063322,0.172905369472116,1.24999999753035,0.00863852242955745,667.501974906854
3.5,0.05,0.948863466764875,0.17594965472972,1.24999999743106,0.0153605155227827,664.763775782264
3.5,0.1,0.948877220685251,0.180276029842569,1.24999999729761,0.0231662929121299,660.96501787061
3.5,0.25,0.948920679104383,0.195005144540174,1.24999999666462,0.0479572710606244,648.154888344028
3.5,0.5,0.948990030386979,0.222941984511663,10.1999436654065,0.076,624.763043958052
5,0.01,0.948839812606466,0.172871954394346,1.24999999761689,0.00200701156635804,667.855115819927
5,0.05,0.948842796109708,0.172109822212034,1.24999999759594,0.00368525021158727,668.376570010745
5,0.1,0.948846519001744,0.172143140461226,1.24999999756889,0.00578228335893965,668.246499585665
5,0.25,0.948860692328674,0.175151182120516,1.24999999745544,0.0137892416786457,665.472057035902
5,0.5,0.948895884816512,0.186559234642867,1.24999999707442,0.0337949382907898,655.492306749635
