"Q_gas","template_dose","alpha_g_feed","phi_porosity","theta_skin","Blended_Porosity"
0.4,0.1,0.0349966841611703,0.203715861358178,0.948790700397768,0.0349966841611703
0.4,0.3,0.0349966841611703,0.205181463565102,0.94905707691634,0.0349966841611703
0.4,0.5,0.0349966841611703,0.206615026907202,0.949348183242497,0.0349966841611703
0.4,0.8,0.0349966841611703,0.208602591562403,0.949831143822157,0.0349966841611703
0.4,1.1,0.0349966841611703,0.210416584290155,0.950335650627435,0.0349966841611703
0.8,0.1,0.0693469214372076,0.218305046872701,0.94854813279302,0.0693469214372076
0.8,0.3,0.0693469214372076,0.219720329796429,0.948815771080735,0.0693469214372076
0.8,0.5,0.0693469214372076,0.221115190215807,0.949108256315895,0.0693469214372076
0.8,0.8,0.0693469214372076,0.223059680783667,0.949593504577517,0.0693469214372076
0.8,1.1,0.0693469214372076,0.224841735409594,0.950100401124664,0.0693469214372076
1.2,0.1,0.076,0.218499426638311,0.94830362657461,0.102708004659769
1.2,0.3,0.076,0.219914841103429,0.948572536715597,0.102708004659769
1.2,0.5,0.076,0.221310070558241,0.948866411880077,0.102708004659769
1.2,0.8,0.076,0.223255418636398,0.949353966106941,0.102708004659769
1.2,1.1,0.076,0.225038563409917,0.949863271494905,0.102708004659769
1.6,0.1,0.076,0.215324234250249,0.948057696803232,0.134831709410182
1.6,0.3,0.076,0.216751827914606,0.948327886202416,0.134831709410182
1.6,0.5,0.076,0.218156804528104,0.948623159388599,0.134831709410182
1.6,0.8,0.076,0.220113633200995,0.949113033006392,0.134831709410182
1.6,1.1,0.076,0.22190593566827,0.949624761259817,0.134831709410182
2,0.1,0.076,0.212217902151437,0.947811467073611,0.165549703431156
2,0.3,0.076,0.213657405266827,0.948082937291292,0.165549703431156
2,0.5,0.076,0.215071913048321,0.948379610204332,0.165549703431156
2,0.8,0.076,0.21703996820851,0.948871806041992,0.165549703431156
2,1.1,0.076,0.218841226194929,0.949385960116024,0.165549703431156
